Price,Close,High,Low,Open,Volume
Ticker,SUNPHARMA.NS,SUNPHARMA.NS,SUNPHARMA.NS,SUNPHARMA.NS,SUNPHARMA.NS
Date,,,,,
2014-04-30,578.4825439453125,582.3220410897399,569.0209758002071,574.094571121439,2049214
2014-05-02,575.83154296875,586.3444219772888,574.6430859222047,577.3855760983453,1531545
2014-05-05,572.814697265625,580.4022972369248,568.8838062636393,568.8838062636393,1359208
2014-05-06,572.3576049804688,575.8314700673328,566.9640751278873,573.1803742475888,960261
2014-05-07,576.6085815429688,582.7791846748198,570.2094375543825,571.3521418380586,1768031
2014-05-08,570.620849609375,577.2942317867215,569.7066861386122,571.4435632553954,1806184
2014-05-09,570.5294799804688,576.9743779921547,565.5015801845321,568.2440709823157,1831135
2014-05-12,560.7021484375,570.529405852722,557.7311171259213,570.4380118231178,2231158
2014-05-13,556.8168334960938,565.8670723184963,551.6518444235115,565.2271468610165,2154826
2014-05-14,559.6051025390625,565.6842551815799,555.2170739357368,555.2170739357368,1461829
2014-05-15,568.061279296875,575.7402200043006,560.6108236916976,566.7814279475785,2847444
2014-05-16,560.8391723632812,580.082298250919,558.5537641629419,568.792404059682,2621959
2014-05-19,534.1000366210938,569.112488281876,525.4154831801003,560.3822378241001,3938456
2014-05-20,536.9796142578125,548.4066569871998,525.0497370114464,532.0431094802743,3371837
2014-05-21,527.380859375,536.0654112072713,525.6439266901045,533.9627908636285,3153096
2014-05-22,530.3062133789062,537.3452833467297,522.9015114960947,527.5637229339967,2152294
2014-05-23,534.1455078125,536.5223654375549,530.2146174971699,530.2146174971699,2115095
2014-05-26,540.3619995117188,554.897220860952,535.0141655829854,552.1547304777841,3707295
2014-05-27,541.641845703125,546.5783506659516,534.0543002052398,540.5905354141183,1672637
2014-05-28,533.9628295898438,546.9439612714032,532.0431087324478,546.6697234055048,2276191
2014-05-29,536.2481689453125,540.3619037913522,531.9058932744929,534.7855299851606,3306080
2014-05-30,558.2339477539062,563.1703970361704,539.3564496960986,541.184776644221,9956155
2014-06-02,547.7666625976562,561.2962683297728,545.207016507164,561.2962683297728,1471220
2014-06-03,551.377685546875,554.0287259701682,546.2126399386359,546.6697216456976,1878542
2014-06-04,544.8870849609375,555.628504941496,542.3731356037855,550.326368365633,1591163
2014-06-05,546.5325317382812,551.1947982605012,542.0988618476813,543.0130251897516,2201960
2014-06-06,548.1781616210938,558.5538949619254,543.9729760700636,557.6854284832042,3261294
2014-06-09,548.8637084960938,551.9718304698038,542.5102619289204,548.4980208304319,1395182
